date,nice_date,day,time,text,is_retweet,id
2015-12-16 22:57:00,"December 16, 2015 10:57 PM",Wednesday,2257,I will be doing @  oreillyfactor tonight at 8:00pmE from Mesa Arizona - will be talking about the #GOPDebate and; more. ,FALSE,3269
2015-12-17 02:09:00,"December 17, 2015 02:09 AM",Thursday,0209,.@  GlennBeck got fired like a dog by #Fox. The Blaze is failing and he wanted to have me on his show. I said no - because he is irrelevant.,FALSE,3270
2015-12-17 02:12:00,"December 17, 2015 02:12 AM",Thursday,0212,Will be on @  jimmykimmel in 20 minutes on @  ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain,FALSE,3271
2015-12-17 06:37:00,"December 17, 2015 06:37 AM",Thursday,0637,Thank you! #MakeAmericaGreatAgain ,FALSE,3272
2015-12-17 07:11:00,"December 17, 2015 07:11 AM",Thursday,0711,#MakeAmericaGreatAgain #Trump2016 ,FALSE,3273
2015-12-17 16:05:00,"December 17, 2015 04:05 PM",Thursday,1605,#MakeAmericaGreatAgain I will be in Cedar RapidsIA this Saturday. Get your tickets-,FALSE,3274
2015-12-17 23:17:00,"December 17, 2015 11:17 PM",Thursday,2317,There is no question who will handle the threat of terrorism best as #POTUS. #Trump2016  ,FALSE,3275
2015-12-18 02:09:00,"December 18, 2015 02:09 AM",Friday,0209,#ISIS is making $400M/year on oil. I have been saying it for years. We need to bomb the oil!  ,FALSE,3276
2015-12-18 03:09:00,"December 18, 2015 03:09 AM",Friday,0309,New Reuters poll - thank you!#MakeAmericaGreatAgain #Trump2016 ,FALSE,3277
2015-12-18 14:45:00,"December 18, 2015 02:45 PM",Friday,1445,As I have been saying. Only the beginning: "ISIS Suspects Arrested in Turkey 150 European Passports Seized." ,FALSE,3278
2015-12-18 16:02:00,"December 18, 2015 04:02 PM",Friday,1602,.@  MelindaDC  Dont misrepresent in order to make a point. I was always tough on ISIS--as youll find out after I get elected.,FALSE,3279
2015-12-18 16:25:00,"December 18, 2015 04:25 PM",Friday,1625,I have an idea for @  JebBush whose campaign is a disaster. Try using your last name and; dont be ashamed of it!,FALSE,3280
2015-12-18 17:50:00,"December 18, 2015 05:50 PM",Friday,1750,Weak and; ineffective @  JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!,FALSE,3281
2015-12-18 18:24:00,"December 18, 2015 06:24 PM",Friday,1824,#MakeAmericaGreatAgain #Trump2016 ,FALSE,3282
2015-12-18 18:43:00,"December 18, 2015 06:43 PM",Friday,1843,.@  JebBush has embarrassed himself and; his family with his incompetent campaign for President. He should remain true to himself.,FALSE,3283
2015-12-18 18:59:00,"December 18, 2015 06:59 PM",Friday,1859,The last thing our country needs is another BUSH! Dumb as a rock!,FALSE,3284
2015-12-18 21:14:00,"December 18, 2015 09:14 PM",Friday,2114,Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 ,FALSE,3285
2015-12-18 22:15:00,"December 18, 2015 10:15 PM",Friday,2215,Another new post-debate poll. THANK YOU! #VoteTrump2016 #MakeAmericaGreatAgain ,FALSE,3286
2015-12-18 22:36:00,"December 18, 2015 10:36 PM",Friday,2236,@thehill: NEW POLL: Trump's massive lead grows in post-debate poll  ,FALSE,3287
2015-12-18 22:41:00,"December 18, 2015 10:41 PM",Friday,2241,@nepafortrump: We now LIVE in a #CrippledAmerica but @  realDonaldTrump WILL make the USA STRONGER than EVER b4 ,FALSE,3288
2015-12-18 22:42:00,"December 18, 2015 10:42 PM",Friday,2242,@WilliamESammon1: #HillaryForPrison2016 ,FALSE,3289
2015-12-19 13:56:00,"December 19, 2015 01:56 PM",Saturday,1356,See Sanders backed Hillary on E-mails at the debate hurting himself and then she threw him under the bus (but failed). Disloyal person!,FALSE,3290
